split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,34,33,6,0.22287519120078755,218.58989447946743,327.04635029108897,6241,0.22478950903478606,71,0.2609385788627858,False,top_14_by_validation_H10_Score
val,34,33,10,0.22478950903478606,220.57032722959605,330.7422870113682,10393,0.22478950903478606,71,0.2609385788627858,False,top_14_by_validation_H10_Score
val,35,34,3,0.2482357278240175,245.91880761805467,344.67238203036607,3117,0.2525020851620399,23,0.2609385788627858,False,top_14_by_validation_H10_Score
val,35,34,6,0.2506575206985159,247.7511561347841,347.60383148916753,6231,0.2525020851620399,23,0.2609385788627858,False,top_14_by_validation_H10_Score
val,35,34,10,0.2525020851620399,249.98777861290355,351.14904253657863,10382,0.2525020851620399,23,0.2609385788627858,False,top_14_by_validation_H10_Score
val,36,35,3,0.2454457719572169,242.05541813306314,341.5441521954517,3235,0.24794884802485595,31,0.2609385788627858,False,top_14_by_validation_H10_Score
val,36,35,6,0.24698148734116607,243.65643250149958,344.2496578768089,6470,0.24794884802485595,31,0.2609385788627858,False,top_14_by_validation_H10_Score
val,36,35,10,0.24794884802485595,245.45922821220253,347.67821416819,10780,0.24794884802485595,31,0.2609385788627858,False,top_14_by_validation_H10_Score
val,37,36,3,0.2407446446398458,238.04495505817397,337.1445858115306,3351,0.24432000983654686,36,0.2609385788627858,False,top_14_by_validation_H10_Score
val,37,36,6,0.24286734181352448,239.8110745640183,339.93520464505724,6702,0.24432000983654686,36,0.2609385788627858,False,top_14_by_validation_H10_Score
val,37,36,10,0.24432000983654686,241.966662616389,343.3765238821912,11167,0.24432000983654686,36,0.2609385788627858,False,top_14_by_validation_H10_Score
val,38,37,3,0.24198781682885206,241.27775056583818,336.3558389483675,3220,0.24422669293348978,38,0.2609385788627858,False,top_14_by_validation_H10_Score
val,38,37,6,0.24355093789383228,243.14162591620828,339.2882437783614,6437,0.24422669293348978,38,0.2609385788627858,False,top_14_by_validation_H10_Score
val,38,37,10,0.24422669293348978,245.3602008813169,342.99317382559013,10715,0.24422669293348978,38,0.2609385788627858,False,top_14_by_validation_H10_Score
val,39,38,3,0.23850214256917626,238.2713001686009,338.085995182524,2801,0.2435258645862473,39,0.2609385788627858,False,top_14_by_validation_H10_Score
val,39,38,6,0.24117652289670538,240.01676085507262,340.9082269663809,5602,0.2435258645862473,39,0.2609385788627858,False,top_14_by_validation_H10_Score
val,39,38,10,0.2435258645862473,242.09157131502957,344.65602110569915,9335,0.2435258645862473,39,0.2609385788627858,False,top_14_by_validation_H10_Score
val,40,39,3,0.22180300994165034,220.94328127992077,315.58060458492326,3306,0.22603911085550465,69,0.2609385788627858,False,top_14_by_validation_H10_Score
val,40,39,6,0.22380664610595224,222.67022398157945,318.38594729583747,6609,0.22603911085550465,69,0.2609385788627858,False,top_14_by_validation_H10_Score
val,40,39,10,0.22603911085550465,224.94708387826455,322.26929874374264,11008,0.22603911085550465,69,0.2609385788627858,False,top_14_by_validation_H10_Score
val,41,40,3,0.22576224610343332,224.82789398921742,320.9650291660758,3183,0.23006936152901158,58,0.2609385788627858,False,top_14_by_validation_H10_Score
